Rainfall,Flood,Humidity,Year,Month,Day,Temperature
0.0,0.0,78.15484671274145,1884,3,1,16.6
0.0,0.0,78.15484671274145,1884,3,2,18.05
0.0,0.0,78.15484671274145,1884,3,3,17.65
0.0,0.0,78.15484671274145,1884,3,4,16.25
0.0,0.0,78.15484671274145,1884,3,5,14.8
0.0,0.0,78.15484671274145,1884,3,6,15.7
50.6,0.0,78.15484671274145,1884,3,7,18.450000000000003
0.0,0.0,78.15484671274145,1884,3,8,15.2
0.8,0.0,78.15484671274145,1884,3,9,14.05
0.0,0.0,78.15484671274145,1884,3,10,14.1
0.0,0.0,78.15484671274145,1884,3,11,17.6
2.2,0.0,78.15484671274145,1884,3,12,16.25
0.0,0.0,78.15484671274145,1884,3,13,14.1
0.0,0.0,78.15484671274145,1884,3,14,16.5
0.0,0.0,78.15484671274145,1884,3,15,17.7
0.0,0.0,78.15484671274145,1884,3,16,18.95
0.0,0.0,78.15484671274145,1884,3,17,19.75
16.0,0.0,78.15484671274145,1884,3,18,15.399999999999999
14.4,0.0,78.15484671274145,1884,3,19,14.55
0.0,0.0,78.15484671274145,1884,3,20,16.450000000000003
7.6,0.0,78.15484671274145,1884,3,21,16.95
25.9,0.0,78.15484671274145,1884,3,22,17.2
10.3,0.0,78.15484671274145,1884,3,23,18.950000000000003
0.0,0.0,78.15484671274145,1884,3,24,17.799999999999997
0.0,0.0,78.15484671274145,1884,3,25,17.2
0.0,0.0,78.15484671274145,1884,3,26,19.1
0.0,0.0,78.15484671274145,1884,3,27,21.45
0.0,0.0,78.15484671274145,1884,3,28,17.6
0.9,0.0,78.15484671274145,1884,3,29,15.45
0.0,0.0,78.15484671274145,1884,3,30,17.0
19.5,0.0,78.15484671274145,1884,3,31,18.450000000000003
0.0,0.0,78.15484671274145,1884,4,1,17.2
12.0,0.0,78.15484671274145,1884,4,2,14.399999999999999
3.3,0.0,78.15484671274145,1884,4,3,14.6
15.3,0.0,78.15484671274145,1884,4,4,16.5
0.5,0.0,78.15484671274145,1884,4,5,18.45
0.3,0.0,78.15484671274145,1884,4,6,22.049999999999997
3.9,0.0,78.15484671274145,1884,4,7,22.65
0.8,0.0,78.15484671274145,1884,4,8,16.549999999999997
0.0,0.0,78.15484671274145,1884,4,9,16.35
0.0,0.0,78.15484671274145,1884,4,10,17.35
0.0,0.0,78.15484671274145,1884,4,11,20.6
35.3,0.0,78.15484671274145,1884,4,12,19.35
0.0,0.0,78.15484671274145,1884,4,13,20.85
7.3,0.0,78.15484671274145,1884,4,14,18.75
0.0,0.0,78.15484671274145,1884,4,15,20.700000000000003
0.0,0.0,78.15484671274145,1884,4,16,21.200000000000003
0.0,0.0,78.15484671274145,1884,4,17,21.3
2.2,0.0,78.15484671274145,1884,4,18,20.35
1.0,0.0,78.15484671274145,1884,4,19,20.35
0.0,0.0,78.15484671274145,1884,4,20,20.8
18.5,0.0,78.15484671274145,1884,4,21,23.1
0.4,0.0,78.15484671274145,1884,4,22,23.55
0.0,0.0,78.15484671274145,1884,4,23,22.4
0.0,0.0,78.15484671274145,1884,4,24,22.799999999999997
0.0,0.0,78.15484671274145,1884,4,25,24.200000000000003
5.8,0.0,78.15484671274145,1884,4,26,25.05
27.7,0.0,78.15484671274145,1884,4,27,19.75
0.0,0.0,78.15484671274145,1884,4,28,20.4
0.0,0.0,78.15484671274145,1884,4,29,22.6
0.0,0.0,78.15484671274145,1884,4,30,23.05
67.2,0.0,78.15484671274145,1884,5,1,21.5
0.0,0.0,78.15484671274145,1884,5,2,24.450000000000003
3.4,0.0,78.15484671274145,1884,5,3,25.15
0.0,0.0,78.15484671274145,1884,5,4,24.25
0.9,0.0,78.15484671274145,1884,5,5,24.25
4.3,0.0,78.15484671274145,1884,5,6,22.200000000000003
1.6,0.0,78.15484671274145,1884,5,7,23.9
0.3,0.0,78.15484671274145,1884,5,8,25.7
13.5,0.0,78.15484671274145,1884,5,9,25.6
33.3,0.0,78.15484671274145,1884,5,10,25.2
29.8,0.0,78.15484671274145,1884,5,11,24.15
3.3,0.0,78.15484671274145,1884,5,12,21.85
0.5,0.0,78.15484671274145,1884,5,13,19.85
0.0,0.0,78.15484671274145,1884,5,14,20.450000000000003
0.0,0.0,78.15484671274145,1884,5,15,23.4
0.4,0.0,78.15484671274145,1884,5,16,24.299999999999997
0.0,0.0,78.15484671274145,1884,5,17,26.950000000000003
16.8,0.0,78.15484671274145,1884,5,18,26.0
4.4,0.0,78.15484671274145,1884,5,19,22.700000000000003
0.0,0.0,78.15484671274145,1884,5,20,23.25
0.3,0.0,78.15484671274145,1884,5,21,25.9
0.0,0.0,78.15484671274145,1884,5,22,28.25
3.6,0.0,78.15484671274145,1884,5,23,24.950000000000003
0.4,0.0,78.15484671274145,1884,5,24,23.200000000000003
1.0,0.0,78.15484671274145,1884,5,25,24.25
0.2,0.0,78.15484671274145,1884,5,26,25.5
0.7,0.0,78.15484671274145,1884,5,27,26.1
39.6,0.0,78.15484671274145,1884,5,28,24.799999999999997
3.7,0.0,78.15484671274145,1884,5,29,24.2
0.3,0.0,78.15484671274145,1884,5,30,25.299999999999997
0.0,0.0,78.15484671274145,1884,5,31,26.700000000000003
0.0,0.0,78.15484671274145,1884,6,1,25.85
0.0,0.0,78.15484671274145,1884,6,2,26.700000000000003
0.0,0.0,78.15484671274145,1884,6,3,25.8
0.0,0.0,78.15484671274145,1884,6,4,26.5
14.6,0.0,78.15484671274145,1884,6,5,25.15
4.4,0.0,78.15484671274145,1884,6,6,26.65
0.1,0.0,78.15484671274145,1884,6,7,25.8
0.0,0.0,78.15484671274145,1884,6,8,26.85
0.0,0.0,78.15484671274145,1884,6,9,26.7
0.6,0.0,78.15484671274145,1884,6,10,27.200000000000003
8.1,0.0,78.15484671274145,1884,6,11,27.25
22.4,0.0,78.15484671274145,1884,6,12,25.9
20.7,0.0,78.15484671274145,1884,6,13,26.450000000000003
0.0,0.0,78.15484671274145,1884,6,14,28.65
0.0,0.0,78.15484671274145,1884,6,15,29.549999999999997
2.8,0.0,78.15484671274145,1884,6,16,28.700000000000003
